id,title,postingDate,salary,hours,closingDate,location,state,city,company,jobType,category,jobReference,additionalSalaryInf
13,Specialist Psychologist,07 November 2023,"£49,178.00 to £62,785.00 per year",Full time,21 November 2023,"Dartford, DA2 7AF",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9277-23-1707,£49178.00 - £62785.00 a year
14,Highly Specialist Critical Care Dietitian,07 November 2023,"£43,742.00 to £50,056.00 per year",Full time,21 November 2023,"Margate, CT9 4AN",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1455,£43742.00 - £50056.00 a year
15,Grill Chef,07 November 2023,None,Full time,07 December 2023,"Dover, Kent, CT16 1LW",South East Englasd,Kent,Whitbread,Permanent,Healthcare & Nursing Jobs,822797-1629,None
16,Bartender,07 November 2023,None,Full time,07 December 2023,"Dover, Kent, CT16 1LW",South East Englasd,Kent,Whitbread,Permanent,Healthcare & Nursing Jobs,822796-1629,None
17,Registered Nurse in Critical Care,07 November 2023,"£35,392.00 to £42,618.00 per year",Full time,21 November 2023,"Margate, CT9 4BG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1454,£35392.00 - £42618.00 a year
18,Ward Clerk,07 November 2023,"£22,383.00 per year",Full time,21 November 2023,"Canterbury, CT1 3NG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1452,£22383.00 a year
19,Paediatric Emergency Department Nurse,07 November 2023,"£28,407.00 to £34,581.00 per year",Full time,21 November 2023,"MARGATE, CT9 4AN",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,C9344-23-1451,£28407.00 - £34581.00 a year
20,Senior Neonatal Nurse,07 November 2023,"£35,392.00 to £42,618.00 per year",Full time,21 November 2023,"Ashford, TN240LZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1453,£35392.00 - £42618.00 a year
21,Ward Clerk,07 November 2023,"£22,383.00 per year",Full time,21 November 2023,"Ashford, TN24 0LZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1450,£22383.00 a year
22,Receptionist - East Cliff Practice (20 hours per week),07 November 2023,£11.35 to £12.16 per hour,Full time,20 November 2023,"Sandwich, CT13 9FF",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B0082-23-0022,£11.35 - £12.16 an hour
23,Looked After Children's Nurse,07 November 2023,"£35,392.00 to £42,618.00 per year",Full time,15 November 2023,"Medway, ME2 4UL",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0813,£35392.00 - £42618.00 a year
24,Specilaist Community Public Health Nurse - School Nurse,07 November 2023,"£35,392.00 to £42,618.00 per year",Full time,26 November 2023,"Folkestone, South locality, folkestone, Ashford, Dover/Deal, CT201SZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0810,£35392.00 - £42618.00 a year
25,Team Administrator,07 November 2023,"£22,816.00 to £24,336.00 per year",Full time,27 November 2023,"Canterbury, CT3 4NH",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0816,£22816.00 - £24336.00 a year
26,Community Neuro Rehab Occupational Therapist,07 November 2023,"£35,392.00 to £42,618.00 per year",Full time,26 November 2023,"Sevenoaks, TN13 3PG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0812,£35392.00 - £42618.00 a year
27,Administrative Assistant,07 November 2023,"£22,383.00 per year",Full time,12 November 2023,"Dover, CT16 3AA",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0815,£22383.00 a year
28,Community Nurse,07 November 2023,"£28,407.00 to £34,581.00 per year",Full time,26 November 2023,"Coxheath, ME17 4AH",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0817,£28407.00 - £34581.00 a year
29,Advanced practitioner chronic pain,07 November 2023,"£50,952.00 to £57,349.00 per year",Full time,19 November 2023,"Multiple locations across Kent, TN25 4AZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0814,£50952.00 - £57349.00 a year
30,Nursing Team Leader,07 November 2023,"£35,392.00 to £42,618.00 per year",Full time,26 November 2023,"Sevenoaks, TN13 3PG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0818,£35392.00 - £42618.00 a year
31,HR Administrator,07 November 2023,"£22,816.00 to £24,336.00 per year",Full time,26 November 2023,"Home, TN25 4AZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0811,£22816.00 - £24336.00 a year
32,Nursing Associate,07 November 2023,"£25,147.00 to £27,596.00 per year",Full time,19 November 2023,"Maidstone, ME16 9NT",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0809,£25147.00 - £27596.00 a year
33,Ward Flow Coordinator,07 November 2023,"£22,816.00 to £24,336.00 per year",Full time,20 November 2023,"Maidstone, ME16 9QQ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9359-23-1166,£22816.00 - £24336.00 a year
34,GP,07 November 2023,"£90,000 per year",Full time,07 December 2023,"KIMS Maidstone, ME14 5FT",South East Englasd,Kent,KIMS Hospital,Permanent,Healthcare & Nursing Jobs,2676,None
35,Locum Consultant in Trauma & Orthopaedics - Upper Limb Trauma,06 November 2023,"£93,666.00 to £126,281.00 per year",Full time,19 November 2023,"Cross Site, ME16 9QQ",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,C9359-23-1165,£93666.00 - £126281.00 a year
36,CONSULTANT MICROBIOLOGIST/MICROBIOLOGIST AND INFECTIOUS DISEASES,06 November 2023,"£93,666.00 to £126,281.00 per year",Full time,10 December 2023,"Maidstone, ME16 9QQ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9359-23-1168,£93666.00 - £126281.00 a year
37,Paediatric Complications related Excess Weight Nurse Specialist,06 November 2023,"£37,162.00 to £52,067.00 per year",Full time,19 November 2023,"Dartford, DA2 8DA",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,C9252-23-0468,£37162.00 - £52067.00 a year
38,Year 3 Teacher,06 November 2023,£154 to £194 per day,Full time,06 December 2023,ME14,South East Englasd,Kent,Teacheractive Limited,Contract,Healthcare & Nursing Jobs,PSyr301-8985,None
39,Healthcare Worker,06 November 2023,"£22,383.00 per year",Full time,20 November 2023,"Dartford, DA2 6PB",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9380-23-0984,£22383.00 a year
40,Multi-disciplinary Pathway Worker (RMN/OT/SW/CBT Therapist),06 November 2023,"£35,392.00 to £42,618.00 per year",Full time,20 November 2023,"Dartford, DA1 2EN",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9395-23-2464,£35392.00 - £42618.00 a year
41,Care Coordinator,06 November 2023,£12.00 per hour,Full time,19 November 2023,"Herne Bay, CT6 6EB",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,A5312-23-0013,£12.00 an hour
42,Community Mental Health Nurse,06 November 2023,"£35,392.00 to £42,618.00 per year",Full time,20 November 2023,"Dartford, DA1 2DL",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9380-23-0983,£35392.00 - £42618.00 a year
43,Business Intelligence Manager,06 November 2023,Not specified,Full time,22 November 2023,"Willesborough, TN24 0GP",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B0214-23-0445,Negotiable
44,Registered Nurse - Day Surgery - Bank,06 November 2023,£18.00 per hour,Full time,06 December 2023,"Maidstone, ME14 5FT",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,E0090-23-0211,£18.00 an hour
45,One You Smokefree Supervisor – NAWK,06 November 2023,"£25,147.00 to £27,596.00 per year",Full time,19 November 2023,"Home North and West Kent, TN254AZ",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,C9846-23-0808,£25147.00 - £27596.00 a year
46,Clinical Engineering Admin/QM Support,06 November 2023,"£29,828.00 to £36,311.00 per year",Full time,20 November 2023,"Crossway Business Park, Dartford, DA2 6QL",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9252-23-0470,£29828.00 - £36311.00 a year
47,UTC Practitioner / Advanced Clinical Practitioner,06 November 2023,"£50,952.00 to £54,192.00 per year",Full time,19 November 2023,"Herne Bay, CT6 6EB",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,A5312-23-0012,£50952.00 - £54192.00 a year
48,Grill Chef,06 November 2023,None,Full time,06 December 2023,"Herne Bay, Kent, CT6 6LA",South East Englasd,Kent,Whitbread,Permanent,Healthcare & Nursing Jobs,822766-1629,None
49,General Practitioner (Rainham),06 November 2023,Not specified,Full time,12 November 2023,"Rainham, RM13 9AB",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,A1797-23-0070061123,Negotiable
50,Deputy Head of Midwifery,06 November 2023,"£58,972.00 to £68,525.00 per year",Full time,20 November 2023,"Ashford, TN24 0LZ",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,C9344-23-1448,£58972.00 - £68525.00 a year
51,Senior Orthopaedic (Plaster) Practitioner/Technician,06 November 2023,"£28,407.00 to £34,581.00 per year",Full time,20 November 2023,"Margate, CT9 4BG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1446,£28407.00 - £34581.00 a year
52,Endoscopy booking Administrator,06 November 2023,"£22,816.00 to £24,336.00 per year",Full time,16 November 2023,"Margate, CT9 4AN",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1445,£22816.00 - £24336.00 a year
53,Outpatient Receptionist,06 November 2023,"£22,383.00 per year",Full time,20 November 2023,"Ashford, TN24 0LZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1449,£22383.00 a year
54,Diabetes Nurse Specialist,06 November 2023,Not specified,Full time,30 January 2024,"Bexleyheath, DA7 5RB",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,A3298-23-0007,Negotiable
55,Clinical Lead,06 November 2023,"£100,000.00 per year",Full time,12 November 2023,"Rainham Health Centre, RM13 9AB",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,A1797-23-0059061123,£100000.00 a year
56,Locum General Practitioner - North East London Si,06 November 2023,£90.00 per hour,Full time,12 November 2023,"North East London, RM13 9AB",South East Englasd,Kent,NHS Jobs,Temporary,Healthcare & Nursing Jobs,A1797-23-0055061123,£90.00 an hour
57,Salaried GP,06 November 2023,Not specified,Full time,30 January 2024,"Bexleyheath, DA7 5RB",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,A3298-23-0008,Negotiable
58,Part time Medical Receptionist / Administrator,06 November 2023,£10.48 per hour,Full time,19 November 2023,"Dover, CT15 7ET",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,A3385-23-0005,£10.48 an hour
59,Specialist Speech and Language Therapist,06 November 2023,"£40,701.00 to £48,054.00 per year",Full time,20 November 2023,"Sidcup, DA14 6LT",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9277-23-1694,£40701.00 - £48054.00 a year
60,Occupational Therapy Technician,06 November 2023,"£27,129.00 to £28,649.00 per year",Full time,01 December 2023,"Bexleyheath, Kent, DA6 8DX",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9277-23-1684,£27129.00 - £28649.00 a year
61,Dermatologist,06 November 2023,"£100,000.00 per year",Full time,12 November 2023,"East Coastal Kent, CT10 2AJ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,A1797-23-0043061123,£100000.00 a year
62,Control Room Supervisor,06 November 2023,"£28,000.00 per year",Full time,14 November 2023,"Chatham, ME5 8RZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0218-23-0595,£28000.00 a year
63,Senior Health and Wellbeing Nurse,06 November 2023,"£35,392.00 to £42,618.00 per year",Full time,19 November 2023,"Rochester, ME1 3YB",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9333-23-2520,£35392.00 - £42618.00 a year
64,Logistics Coordinator,06 November 2023,£11.40 per hour,Full time,14 November 2023,"Chatham, ME5 8JZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0218-23-0594,£11.40 an hour
65,Community Mental Health Nurse,06 November 2023,"£35,392.00 to £42,618.00 per year",Full time,20 November 2023,"Sittingbourne, ME10 4HG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9380-23-0982,£35392.00 - £42618.00 a year
66,"Advanced Nurse Practitioner, GP Surgery",06 November 2023,"£50,000.00 to £65,000.00 per year",Full time,12 November 2023,"Rainham, RM13 9AB",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,A1797-23-0018061123,£50000.00 - £65000.00 a year
67,Advanced Clinical Practitioner,06 November 2023,"£56,388.00 to £62,785.00 per year",Full time,20 November 2023,"Welling, DA16 1BL",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9277-23-1686,£56388.00 - £62785.00 a year
68,Pharmacy Technician,06 November 2023,"£28,407.00 to £34,581.00 per year",Full time,20 November 2023,"Maidstone, ME16 9PH",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9380-23-0981,£28407.00 - £34581.00 a year
69,Registered General Nurse - Thanet,06 November 2023,"£28,407.00 to £34,581.00 per year",Full time,21 November 2023,"Margate, CT94AD",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B0497-23-0078,£28407.00 - £34581.00 a year
70,Qualified Paramedic,06 November 2023,"£53,664.00 per year",Full time,05 January 2024,"Sevenoaks, TN15 7PX",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0273-23-0000,£53664.00 a year
71,Team Member - Kitchen/40014740,06 November 2023,None,Full time,06 December 2023,"Maidstone, Kent, ME14 3AU",South East Englasd,Kent,Whitbread,Permanent,Healthcare & Nursing Jobs,822731-1629,None
72,NHS Urgent Care Occupational Therapist,06 November 2023,£19 to £21 per hour,Full time,06 December 2023,ME14,South East Englasd,Kent,Sanctuary Personnel,Temporary,Healthcare & Nursing Jobs,197795-430334,None
73,Ambulance Care Assistant (Driver),06 November 2023,£10.90 per hour,Full time,14 November 2023,"Ashford, TN23 4FG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0218-23-0586,£10.90 an hour
74,Healthcare Assistant,06 November 2023,Not specified,Full time,30 November 2023,"Kent, TN27 9AA",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,A5480-23-0004,Negotiable
75,"Senior Assistant Technical Officer, Pharmacy Aseptic Services",06 November 2023,"£22,816.00 to £24,336.00 per year",Full time,10 November 2023,"Canterbury, CT1 3NG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1447,£22816.00 - £24336.00 a year
76,Physiotherapy Assistant,06 November 2023,"£16,765.00 to £18,397.00 per year",Full time,21 November 2023,"Margate, CT9 4AD",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B0497-23-0077,£16765.00 - £18397.00 a year
77,Health Records Operational Support Officer,06 November 2023,"£26,405.00 to £28,976.00 per year",Full time,12 November 2023,"Dartford, DA2 8DA",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,C9252-23-0466,£26405.00 - £28976.00 a year
78,Clinical Psychologist,06 November 2023,"£43,742.00 to £45,996.00 per year",Full time,11 December 2023,"West Malling, ME19 4YU",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,U0100-23-0004,£43742.00 - £45996.00 a year
79,Colposcopy Clinical Nurse Specialist,06 November 2023,"£45,753.00 to £52,067.00 per year",Full time,19 November 2023,"Dartford, DA2 8DA",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9252-23-0467,£45753.00 - £52067.00 a year
80,Registered Mental Health Nurse (RMN) - Female Acute,06 November 2023,"£47,299.20 per year",Full time,04 December 2023,"Kent, TN15 0JR",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0233-23-1945,£47299.20 - £47299.20 a year
81,Ambulance Care Assistant (Driver),06 November 2023,£10.90 per hour,Full time,14 November 2023,"Aylesford, ME20 7EZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0218-23-0589,£10.90 an hour
82,"Senior Assistant Technical Officer, Pharmacy Aseptic Services",06 November 2023,"£22,816.00 to £24,336.00 per year",Full time,10 November 2023,"Canterbury, CT1 3NG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1444,£22816.00 - £24336.00 a year
83,Ambulance Driver- Margate,06 November 2023,£10.90 per hour,Full time,14 November 2023,"Margate, CT9 4JS",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0218-23-0590,£10.90 an hour
84,Nights Ambulance Driver- Margate,06 November 2023,£10.90 per hour,Full time,14 November 2023,"Margate, CT9 4JS",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0218-23-0591,£10.90 an hour
85,Dental receptionist,06 November 2023,"£22,383.00 per year",Full time,20 November 2023,"Gillingham, ME8 9PR",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B9813-23-0308,£22383.00 a year
86,Clinical project manager for CYP asthma pathways,06 November 2023,"£43,742.00 to £50,056.00 per year",Full time,20 November 2023,"Medway, ME8 0PZ",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,B9813-23-0307,£43742.00 - £50056.00 a year
87,Dental therapist,06 November 2023,"£35,392.00 to £42,618.00 per year",Full time,20 November 2023,"Paddock Wood, TN12 6AX",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B9813-23-0305,£35392.00 - £42618.00 a year
88,Sister/Charge Nurse - Children’s Hospital at Home Team,06 November 2023,"£37,162.00 to £44,629.00 per year",Full time,19 November 2023,"Dartford, DA2 8DA",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9252-23-0465,£37162.00 - £44629.00 a year
89,Community dietitian,06 November 2023,"£28,407.00 to £34,581.00 per year",Full time,20 November 2023,"Gillingham, ME8 0PZ",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,B9813-23-0302,£28407.00 - £34581.00 a year
90,Paediatric Adolescent and Transition Specialist Nurse,06 November 2023,"£45,753.00 to £52,067.00 per year",Full time,19 November 2023,"Dartford, DA2 8DA",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9252-23-0464,£45753.00 - £52067.00 a year
91,Neighbourhood nurses (band 6),06 November 2023,"£35,392.00 to £42,618.00 per year",Full time,20 November 2023,"Medway, ME8 0NJ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B9813-23-0303,£35392.00 - £42618.00 a year
92,Urgent response practitioner,06 November 2023,"£35,392.00 to £42,618.00 per year",Full time,20 November 2023,"Gillingham, ME8 0NJ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B9813-23-0306,£35392.00 - £42618.00 a year
93,Return to Practice Nurse / AHP,06 November 2023,"£22,816.00 to £24,336.00 per year",Full time,17 November 2023,"Medway towns, ME8 0PZ",South East Englasd,Kent,NHS Jobs,Temporary,Healthcare & Nursing Jobs,B9813-23-0300,£22816.00 - £24336.00 a year
94,Specialist social worker - palliative care,06 November 2023,"£35,392.00 to £42,618.00 per year",Full time,20 November 2023,"Rochester, ME1 2NU",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B9813-23-0301,£35392.00 - £42618.00 a year
95,"Head of Nursing, Quality and Professional Standards",06 November 2023,"£50,952.00 to £68,525.00 per year",Full time,09 November 2023,"Bexley, DA5 1LW",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B0027-23-0062,£50952.00 - £68525.00 a year
96,Assistant Administrator,06 November 2023,"£22,383.00 per year",Full time,20 November 2023,"Canterbury, CT1 3NG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1443,£22383.00 a year
97,Business intelligence analyst,06 November 2023,"£28,407.00 to £34,581.00 per year",Full time,20 November 2023,"Gillingham, ME8 0PZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B9813-23-0304,£28407.00 - £34581.00 a year
98,Ambulance Driver - Days - Dartford,06 November 2023,£10.90 per hour,Full time,14 November 2023,"Dartford, DA1 1RT",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0218-23-0588,£10.90 an hour
99,Ambulance Driver- Canterbury,06 November 2023,£10.90 per hour,Full time,14 November 2023,"Canterbury, CT3 3EP",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0218-23-0587,£10.90 an hour
100,Staff Nurse Outpatients Canterbury,06 November 2023,"£28,413.00 to £34,573.00 per year",Full time,04 December 2023,"Canterbury, CT1 3NG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0005-23-0066,£28413.00 - £34573.00 a year
101,Regional Adult Nurse,06 November 2023,"£37,000 to £40,000 per year",Full time,06 December 2023,"Dartford, Kent, DA1 1EX",South East Englasd,Kent,Prestige Nursing + Care,Permanent,Healthcare & Nursing Jobs,HR355_1699265466,None
102,Field Care Supervisor,06 November 2023,"£20,000 to £22,000 per year",Part time,06 December 2023,"Dartford, Kent, DA1 1EX",South East Englasd,Kent,Prestige Nursing + Care,Permanent,Healthcare & Nursing Jobs,HR322_1699266575,pro-rata salary
103,Registered Mental Health Nurse (RMN) - Female Acute,06 November 2023,£22.74 per hour,Full time,04 December 2023,"Kent, TN15 0JR",South East Englasd,Kent,Cygnet,Permanent,Healthcare & Nursing Jobs,33423,Competitive
104,Advanced Clinical Practitioner | Oxleas NHS Foundation Trust,06 November 2023,Not specified,Full time,06 December 2023,"Welling, DA16 1BL",South East Englasd,Kent,Oxleas NHS Foundation Trust,Permanent,Healthcare & Nursing Jobs,5804567/277-5674269-CPH-A,"£56,388 - £62,785 pa inc"
105,Lead Nurse Hysteroscopist,06 November 2023,"£50,952.00 to £57,349.00 per year",Full time,19 November 2023,"Tunbridge Wells, TN2 4QJ",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,C9359-23-1159,£50952.00 - £57349.00 a year
106,Care Planner/Coordinator,06 November 2023,"£22,000 to £23,500 per year",Part time,06 December 2023,"Dartford, Kent, DA1 1EX",South East Englasd,Kent,Prestige Nursing + Care,Permanent,Healthcare & Nursing Jobs,HR310_1699253147,Dependent on experience and hours worked
107,National Trainer,06 November 2023,"£38,000 per year",Full time,06 December 2023,"Dartford, Kent, DA1 1EX",South East Englasd,Kent,Prestige Nursing + Care,Permanent,Healthcare & Nursing Jobs,HR349_1699255923,None
108,Health Care Assistant - Maxillofacial & Oral Surgery Department,06 November 2023,"£23,575.00 per year",Full time,19 November 2023,"Dartford, DA2 8DA",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9252-23-0463,£23575.00 a year
109,Front of House,05 November 2023,None,Full time,05 December 2023,"Gillingham Medway, Kent, ME8 7JE",South East Englasd,Kent,Whitbread,Permanent,Healthcare & Nursing Jobs,822674-1629,None
110,Senior Therapist,05 November 2023,"£43,742.00 to £50,056.00 per year",Full time,16 November 2023,"Tunbridge Wells, TN12JN",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9395-23-2441,£43742.00 - £50056.00 a year
111,Front of House,04 November 2023,None,Full time,04 December 2023,"West Malling, Kent, ME19 5TR",South East Englasd,Kent,Whitbread,Permanent,Healthcare & Nursing Jobs,822670-1629,None
